id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 4 - 13, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ опхимърн
12,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 14, гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, српхлюбяъ, гю, опнрх, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
13,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 15, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
14,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 16, ме цнкнясбюб, опнрх, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, опнрх, ме цнкнясбюб, гю, гю, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
15,"гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 17, 18", ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
16,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 19-26, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
17,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 27 - 40, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
18,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 41 √ 46., ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
19,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 47 √ 49., ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
20,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 50, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
21,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 51, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
22,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 52, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
23,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 53, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
24,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 54, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
25,"гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 55, 56", ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
26,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 57, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
27,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 58, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
28,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 59, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
29,"гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 60, 61", ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
30,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 62, ме цнкнясбюб, гю, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
31,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 63, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
32,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 64, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
33,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 65, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
34,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 66 √ 68., ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, ме цнкнясбюб, гю, гю, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
35,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 63., гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
36,гЕЛЕКЭМЁ ОХРЮММЪ. оХРЮММЪ ╧ 70, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
37,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 71-84., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
38,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 85, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, гю, гю,п╡ьеммъ опхимърн
39,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 86 √ 95., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
40,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 96, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, опнрх, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
41,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 97 √ 113., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
42,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 114., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
43,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙР ╧ 115., ме цнкнясбюб, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, ме цнкнясбюб, гю, опнрх, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
44,гЕЛЕКЭМЁ ОХРЮММЪ. оПНЕЙРХ ╧ 116 √ 123., ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
