id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гордійчук Валерій Григорович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович, Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
11,Про міський бюджет на 2019 рік.,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
12,Про міський бюджет на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
13,Про міський бюджет на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
14,Про міський бюджет на 2019 рік.,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
15,Про міський бюджет на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
16,Про міський бюджет на 2019 рік.,НЕ ГОЛОСУВАВ,ЗА,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
17,Про міський бюджет на 2019 рік.,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
18,Про міський бюджет на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
19,Про міський бюджет на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
20,Про міський бюджет на 2019 рік.,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УРИМАВСЯ,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
21,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 №  9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 №  7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 №  98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 №  1/55, рішенням 56 сесії міської ради від 05.06.2018 №  21/56, рішенням 57 сесії міської ради від 06.07.2018 №  24/57, рішенням 58 сесії міської ради від 07.08.2018 №  135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60, рішенням 61 (позачергової) сесії міської ради від 23.10.2018 №  1/61, рішенням 62 (позачергової) сесії міської ради від 31.10.2018 № 4/62, рішенням 63 сесії міської ради від 06.11.2018 №  123/63, рішенням 64 сесії міської ради від 04.12.2018 № 33/64, рішенням 65 (позачергової) сесії міської ради від 11.12.2018 № 9/65.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
22,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 №  9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 №  7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 №  98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 №  1/55, рішенням 56 сесії міської ради від 05.06.2018 №  21/56, рішенням 57 сесії міської ради від 06.07.2018 №  24/57, рішенням 58 сесії міської ради від 07.08.2018 №  135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60, рішенням 61 (позачергової) сесії міської ради від 23.10.2018 №  1/61, рішенням 62 (позачергової) сесії міської ради від 31.10.2018 № 4/62, рішенням 63 сесії міської ради від 06.11.2018 №  123/63, рішенням 64 сесії міської ради від 04.12.2018 № 33/64, рішенням 65 (позачергової) сесії міської ради від 11.12.2018 № 9/65.",НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
23,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 №  9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 №  7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 №  98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 №  1/55, рішенням 56 сесії міської ради від 05.06.2018 №  21/56, рішенням 57 сесії міської ради від 06.07.2018 №  24/57, рішенням 58 сесії міської ради від 07.08.2018 №  135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60, рішенням 61 (позачергової) сесії міської ради від 23.10.2018 №  1/61, рішенням 62 (позачергової) сесії міської ради від 31.10.2018 № 4/62, рішенням 63 сесії міської ради від 06.11.2018 №  123/63, рішенням 64 сесії міської ради від 04.12.2018 № 33/64, рішенням 65 (позачергової) сесії міської ради від 11.12.2018 № 9/65.",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
