id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
11,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
12,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
13,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
14,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
15,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
16,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
17,"Про внесення змін до рішення 73 сесії міської ради від 09.12.2014 № 4/73 «Про встановлення нормативів розподілу чистого прибутку і порядку відрахування частини чистого прибутку (доходу) комунальних унітарних підприємств та їх об'єднань, що вилучається до бюджету міста Кам’янця-Подільського».", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,Про надання пільг зі сплати місцевих податків на 2018 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
19,Про надання пільг зі сплати місцевих податків на 2018 рік., ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
20,Про надання пільг зі сплати місцевих податків на 2018 рік.,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
21,Про надання пільг зі сплати місцевих податків на 2018 рік., УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, УТРИМАВСЯ, ПРОТИ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
22,Про надання пільг зі сплати місцевих податків на 2018 рік., УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
23,Про надання пільг зі сплати місцевих податків на 2018 рік., УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
24,Про надання пільг зі сплати місцевих податків на 2018 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
25,"Про внесення змін та доповнень до рішення 24 (позачергової) сесії міської ради від 23.12.2016 № 3/24 «Про міський бюджет на 2017 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 25 сесії міської ради від 31.01.2017 № 12/25, рішенням 26 (позачергової) сесії міської ради від 14.02.2017 № 5/26, рішенням 29 (позачергової) сесії міської ради від 15.03.2017 № 1/29, рішенням 30 сесії міської ради від 28.03.2017 № 101/30, рішенням 31 (позачергової) сесії міської ради від 07.04.2017 № 2/31, рішенням 32 сесії міської ради від 26.04.2017 № 25/32, рішенням 33 (позачергової) сесії міської ради від 28.04.2017 № 4/33, рішенням 34 (позачергової) сесії міської ради від 16.05.2017 № 2/34, рішенням 36 (позачергової) сесії міської ради від 08.06.2017 № 3/36, рішенням 37 сесії міської ради від 04.07.2017 № 21/37, рішенням 38 сесії міської ради від 01.08.2017 № 19/38, рішенням 39 сесії міської ради від 05.09.2017 № 25/39, рішенням 39 сесії міської ради від 05.09.2017 № 25/39, рішенням 40 (позачергової) сесії міської ради від 15.09.2017 № 7/40.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
26,Про надання дозволу КП «Кам’янець-Подільська міська друкарня» на списання майна., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
27,Про внесення змін до рішення 8 сесії міської ради від 23.02.2016 № 5/8., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
28,Про надання дозволу КП «Міськтепловоденергія» на укладання договору про реструктуризацію заборгованості за спожитий природний газ із ПАТ «НАК «Нафтогаз України» та надання гарантії Кам’янець-Подільської міської ради щодо його виконання, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
29,"Про затвердження Порядку залучення, розрахунку розміру і використання коштів пайової участі у створенні і розвитку інженерно-транспортної та соціальної інфраструктури міста Кам’янця-Подільського.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
30,"Про затвердження Порядку залучення, розрахунку розміру і використання коштів пайової участі у створенні і розвитку інженерно-транспортної та соціальної інфраструктури міста Кам’янця-Подільського.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
31,Про звернення до Верховної Ради України щодо розробки дієвих заходів впливу на стихійні ринки., ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
32,Про звернення до Верховної Ради України щодо розробки дієвих заходів впливу на стихійні ринки., ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
33,"Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Максимчука (біля будинку № 2) та передачу її в постійне користування КП ""Кам’янець-Подільський міський стадіон ім. Г.А. Тонкочеєва"" Кам’янець-Подільської міської ради.
Про затвердження проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська (біля будинку № 30), зміну її адреси та передачу її в постійне користування КП ""Кам’янець-Подільський міський стадіон ім. Г.А. Тонкочеєва"" Кам’янець-Подільської міської ради.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Товариству з обмеженою відповідальністю ""Міжнародний центр газових технологій"".
Про продовження терміну дії дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Видрівка комунальному підприємству ""Міськтепловоденергія"".", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
