id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Полатайко Олександр Миколайович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
11,"Про надання згоди на прийняття до комунальної власності міста нежитлового приміщення лікарської амбулаторії по вул. Привокзальній, 19.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
12,Про вилучення з статутного капіталу ЖКП «Південь» основних засобів: станок комбінований та пральна машинка., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
13,Про внесення доповнень до рішення четвертої (позачергової) сесії міської ради від 23.12.2015 №  10/4., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
14,Про затвердження проміжного ліквідаційного балансу відділу технічного нагляду і проектування (госпрозрахунковий) при Департаменті житлово-комунального господарства Кам’янець-Подільської міської ради., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
15,Про затвердження додатку № 1 в новій редакції рішення сесії №  1/88 від 14.07.2015 року «Про внесення змін до структури виконавчих органів міської ради»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
16,Про затвердження Звіту про виконання Програми «Розвиток та підтримка науково-дослідницької роботи в загальноосвітніх та позашкільних навчальних закладах міста» за 2015 рік., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
17,"Про затвердження Звіту про виконання міської Програми «Безкоштовне харчування дітей громадян, постраждалих внаслідок Чорнобильської катастрофи» за 2015 рік.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
18,"Про затвердження Звіту про виконання міської Програми «Безкоштовне харчування дітей тимчасово переселених із  зони  АТО  (Донецька та Луганська області) та  тимчасово  окупованої території Автономної Республіки Крим, дітей, чиї батьки брали та беруть безпосередню участь в АТО, проходили або проходять військову службу в Донецькій та Луганській областях в період проведення АТО, але не отримали статус її учасника» на 2015 рік.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
19,Про затвердження звіту про виконання у 2015 році Програми «Діти міста на 2011-2015 роки»., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
20,"Про затвердження звітів служби у справах дітей та Центру соціальних служб для сім’ї, дітей та молоді щодо виконання у 2015 році міської Програми забезпечення житлом дітей-сиріт, дітей, позбавлених батьківського піклування та осіб з їх числа на 2013-2018 роки.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
21,"Про затвердження звітів служби у справах дітей та Центру соціальних служб для сім’ї, дітей та молоді щодо виконання у 2015 році міської Програми забезпечення житлом дітей-сиріт, дітей, позбавлених батьківського піклування та осіб з їх числа на 2013-2018 роки.", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
22,"Про встановлення меморіальної дошки з портретом Фадея Ганіцького на фасаді міської дитячої музичної школи по вул. Шевченка, 35.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
23,Про міську цільову Програму надання безоплатної первинної правової допомоги на 2016 рік., НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
24,Про міську цільову Програму надання безоплатної первинної правової допомоги на 2016 рік., НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА,РІШЕННЯ ПРИЙНЯТО
25,"Про затвердження звернення Кам'янець-Подільської міської ради до Прем’єр-міністра України Яценюка А.П., Голови Верховної Ради України Гройсмана В.Б. та народного депутата України Мельниченка В.В.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
26,Земельні питання., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
27,Земельні питання., ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
28,Земельні питання., ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
29,Земельні питання., ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
30,Земельні питання., ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
31,Земельні питання., УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
32,Земельні питання., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
33,Земельні питання., НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
34,Земельні питання., НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
35,Земельні питання., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
36,Земельні питання., УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
37,Земельні питання., УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
38,Земельні питання., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
39,Земельні питання., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
40,Земельні питання., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
