id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,оПН ГЮРБЕПДФЕММЪ КЁЙБЁДЮЖЁИМНЦН АЮКЮМЯС ЙНЛСМЮКЭМН© СЯРЮМНБХ ╚рПСДНБХИ ЮПУЁБ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
12,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 5═(ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 13.01.2016  ╧═1/5., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
13,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 10 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.03.2016 ╧═330/10., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
14,оПН БХДЁКЕММЪ ЙНЬРЁБ Г ЛЁЯЭЙНЦН АЧДФЕРС МЮ ГАЁКЭЬЕММЪ ЯРЮРСРМНЦН ЙЮОЁРЮКС йо ╚йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙЮ ЛЁЯЭЙЮ ЯРНЛЮРНКНЦЁВМЮ ОНКЁЙКЁМЁЙЮ╩., гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
15,оПН ГЮРБЕПДФЕММЪ ГБЁРС ╚оПН БХЙНМЮММЪ АЧДФЕРС ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН ГЮ 9 ЛЁЯЪЖЁБ 2016 ПНЙС╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
16,"оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 29/4 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2016 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН, Г БПЮУСБЮММЪЛ ГЛЁМ РЮ ДНОНБМЕМЭ, БМЕЯЕМХУ ПЁЬЕММЪЛ 5 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 13.01.2016 ╧ 2/5, ПЁЬЕММЪЛ 6 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.01.2016 ╧ 112/6, ПЁЬЕММЪЛ 7 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.02.2016 ╧ 1/7, ПЁЬЕММЪЛ 8 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.02.2016 ╧ 4/8, ПЁЬЕММЪЛ 9 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.02.2016 ╧ 1/9, ПЁЬЕММЪЛ 10 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.03.2016 ╧ 328/10, ПЁЬЕММЪЛ 12 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 28.04.2016 ╧ 4/12, ПЁЬЕММЪЛ 13 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 31.05.2016 ╧ 19/13, ПЁЬЕММЪЛ 14 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 05.07.2016 ╧ 182/14, ПЁЬЕММЪЛ 15 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 12.07.2016 ╧ 16/15, ПЁЬЕММЪЛ 16 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.08.2016 ╧ 167/16, ПЁЬЕММЪЛ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 131/17, ПЁЬЕММЪЛ 18 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 11.10.2016 ╧ 5/18, ПЁЬЕММЪЛ 19 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 18.10.2016 ╧ 114/19, ПЁЬЕММЪЛ 20 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 03.11.2016 ╧ 1/20.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
17,"оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧ 29/4 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2016 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН, Г БПЮУСБЮММЪЛ ГЛЁМ РЮ ДНОНБМЕМЭ, БМЕЯЕМХУ ПЁЬЕММЪЛ 5 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 13.01.2016 ╧ 2/5, ПЁЬЕММЪЛ 6 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.01.2016 ╧ 112/6, ПЁЬЕММЪЛ 7 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.02.2016 ╧ 1/7, ПЁЬЕММЪЛ 8 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.02.2016 ╧ 4/8, ПЁЬЕММЪЛ 9 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.02.2016 ╧ 1/9, ПЁЬЕММЪЛ 10 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.03.2016 ╧ 328/10, ПЁЬЕММЪЛ 12 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 28.04.2016 ╧ 4/12, ПЁЬЕММЪЛ 13 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 31.05.2016 ╧ 19/13, ПЁЬЕММЪЛ 14 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 05.07.2016 ╧ 182/14, ПЁЬЕММЪЛ 15 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 12.07.2016 ╧ 16/15, ПЁЬЕММЪЛ 16 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.08.2016 ╧ 167/16, ПЁЬЕММЪЛ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 131/17, ПЁЬЕММЪЛ 18 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 11.10.2016 ╧ 5/18, ПЁЬЕММЪЛ 19 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 18.10.2016 ╧ 114/19, ПЁЬЕММЪЛ 20 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 03.11.2016 ╧ 1/20.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
18,"оПН ОПНБЕДЕММЪ ЕЙЯОЕПРМН© ЦПНЬНБН© НЖЁМЙХ ГЕЛЕКЭМН© ДЁКЪМЙХ МЕЯЁКЭЯЭЙНЦНЯОНДЮПЯЭЙНЦН ОПХГМЮВЕММЪ ГЮ ЮДПЕЯНЧ БСКХЖЪ оПХБНЙГЮКЭМЮ, 28.", гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
19,"гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 1, 2", српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, опнрх, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
20,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 3, гю, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, опнрх, гю, гю, српхлюбяъ, опнрх, српхлюбяъ, опнрх, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
21,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 4, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, опнрх, опнрх, српхлюбяъ, српхлюбяъ, опнрх, гю, опнрх, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
22,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 5, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
23,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 6, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю,п╡ьеммъ опхимърн
24,"гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 7, 8", српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
25,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 9-11, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
26,"гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 12, 13", српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
