,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,FullAskText, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ,result
11,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС: ГЮ ЯРЮБЙС 1%, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
12,"оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС: ГЮ ЯРЮБЙС 1,5%", гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
13,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС: ГЮ ЯРЮБЙС 2%, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
14,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС: ДНОНБМХРХ ПЁЬЕММЪ ОСМЙРНЛ 1.2, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
15,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС: ДНОНБМХРХ ОПНЕЙР ПЁЬЕММЪ ОСМЙРНЛ 2., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
16,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ГЕЛЕКЭМНЦН ОНДЮРЙС., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
17,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 53 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 10.12.2013 ╧ 1/53 ╚оПН ОНПЪДНЙ ОКЮМСБЮММЪ РЮ БХЙНПХЯРЮММЪ ЙНЬРЁБ ЛЁЯЭЙНЦН АЧДФЕРС ПНГБХРЙС╩., гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
18,оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ БЁЯЁЛДЕЯЪР ЬНЯРН© ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 30.06.2015 ╧═2/86 ╚оПН ГЮРБЕПДФЕММЪ оНКНФЕМЭ ОПН ЛЁЯЖЕБЁ ОНДЮРЙХ Ё ГАНПХ С Л.═йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС╩., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
19,оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ БЁЯЁЛДЕЯЪР ЬНЯРН© ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 30.06.2015 ╧═2/86 ╚оПН ГЮРБЕПДФЕММЪ оНКНФЕМЭ ОПН ЛЁЯЖЕБЁ ОНДЮРЙХ Ё ГАНПХ С Л.═йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС╩., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
20,оПН ГЮРБЕПДФЕММЪ ПЁЬЕММЪ БХЙНМЮБВНЦН ЙНЛЁРЕРС ЛЁЯЭЙН© ПЮДХ ╚оПН БМЕЯЕММЪ ГЛЁМ ДН ПНГОХЯС ЛЁЯЭЙНЦН АЧДФЕРС МЮ 2016 ПЁЙ╩ БЁД 26.12.2016 ПНЙС ╧ 1702 РЮ БЁД 28.12.2016 ПНЙС ╧═1752., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
21,оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 24 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2016 ╧═3/24 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2017 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
22,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ ДБЮДЖЪРЭ РПЕРЭН© ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 20.12.2016 ╧═5/23., гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
23,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 23 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ БЁД 20.12.2016 ╧═3/23., српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
24,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 16 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ V╡╡ ЯЙКХЙЮММЪ БЁД 09.08.2016 ╧═4/16 ╚оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VII═ЯЙКХЙЮММЪ БЁД 23.12.2015 ╧═8/4╩., гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
25,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 14 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 05.07.2016 ╧ 7/14., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
26,оПН ГЮРБЕПДФЕММЪ КЁЙБЁДЮЖЁИМНЦН АЮКЮМЯС ЙНЛСМЮКЭМНЦН ОЁДОПХ╨ЛЯРБЮ ╚йПНЙ-оКЧЯ╩., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
27,оПН БЯРЮМНБКЕММЪ ОЁКЭЦНБН© НПЕМДМН© ОКЮРХ НПЕМДЮПЪЛ МЕФХРКНБХУ ОПХЛЁЫЕМЭ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
28,оПН БЯРЮМНБКЕММЪ ОЁКЭЦНБН© НПЕМДМН© ОКЮРХ НПЕМДЮПЪЛ МЕФХРКНБХУ ОПХЛЁЫЕМЭ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ., гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
29,оПН ГБЕПМЕММЪ ДН уЛЕКЭМХЖЭЙН© НАКЮЯМН© ПЮДХ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
30,оПН ГБЕПМЕММЪ ДН МЮПНДМНЦН ДЕОСРЮРЮ сЙПЮ©МХ лЕКЭМХВЕМЙЮ б.б., српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
31,оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН СОПЮБКЁММЪ НЯБЁРХ Ё МЮСЙХ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
32,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ БНЯЭЛН© ЯЕЯЁ© VI ЯЙКХЙЮММЪ БЁД 29.03.2011 ╧ 22., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
33,оПН ОПХЯБН╨ММЪ ГБЮММЪ ╚оНВЕЯМХИ ЦПНЛЮДЪМХМ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩ яНКНОВСЙС л.я. (ОНЯЛЕПРМН)., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
34,оПН МЮЦНПНДФЕММЪ БЁДГМЮЙНЧ ЛЁЯЭЙН© ПЮДХ ╚вЕЯРЭ Ё ЬЮМЮ╩ йНПНАВСЙЮ б.о., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
35,оПН ГЮРБЕПДФЕММЪ ЯОХЯЙС ОПХЯЪФМХУ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН ЛЁЯЭЙПЮИНММНЦН ЯСДС уЛЕКЭМХЖЭЙН© НАКЮЯРЁ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
36,"оПН ГБЕПМЕММЪ ДН оПЕГХДЕМРЮ сЙПЮ©МХ, оПЕЛ▓╨П-ЛЁМЁЯРПЮ сЙПЮ©МХ, цНКНБХ бЕПУНБМН© пЮДХ сЙПЮ©МХ ЫНДН БХОКЮРХ ЯРХОЕМДЁИ ЯРСДЕМРЮЛ БХЫХУ МЮБВЮКЭМХУ ГЮЙКЮДЁБ.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
37,гЕЛЕКЭМЁ ОХРЮММЪ. оХРЮММЪ ╧ 1, гю, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб,п╡ьеммъ ме опхимърн
38,гЕЛЕКЭМЁ ОХРЮММЪ. оХРЮММЪ ╧ 2, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
