id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Костинюк Володимир Володимирович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
28,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 №  9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 №  7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 №  98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 №  1/55, рішенням 56 сесії міської ради від 05.06.2018 №  21/56, рішенням 57 сесії міської ради від 06.07.2018 №  24/57, рішенням 58 сесії міської ради від 07.08.2018 №  135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60, рішенням 61 (позачергової) сесії міської ради від 23.10.2018 №  1/61, рішенням 62 (позачергової) сесії міської ради від 31.10.2018 № 4/62, рішенням 63 сесії міської ради від 06.11.2018 № 123/63",ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
29,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 №  9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 №  7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 №  98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 №  1/55, рішенням 56 сесії міської ради від 05.06.2018 №  21/56, рішенням 57 сесії міської ради від 06.07.2018 №  24/57, рішенням 58 сесії міської ради від 07.08.2018 №  135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59, рішенням 60 сесії міської ради від 02.10.2018 № 16/60, рішенням 61 (позачергової) сесії міської ради від 23.10.2018 №  1/61, рішенням 62 (позачергової) сесії міської ради від 31.10.2018 № 4/62, рішенням 63 сесії міської ради від 06.11.2018 № 123/63",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
30,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нагірна, 27 Кам’янець-Подільській міській раді",ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
31,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою площа Польський ринок, 6 Національному природному парку “Подільські товтри”",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
32,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Укмергеська, 20 Пігович Л.В.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
33,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки на території міста Кам’янець-Подільський (відповідно до графічних матеріалів) Комарніцькому О.І.,УТРИМАВСЯ,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,ПРОТИ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ,ПРОТИ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
34,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки на території міста Кам’янець-Подільський (відповідно до графічних матеріалів) Комарніцькому О.І.
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Яворському П.Р.
Дозвіл на розроблення проекту землеустрою за адресою проспект Грушевського Яворському Р.М. ",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
35," Блок питань: 7-8
Дозвіл на розроблення проекту землеустрою за адресою провулок Заводський, 18 Шаткевич Т.Ф.
Дозвіл на розроблення проекту землеустрою за адресою провулок Заводський, 22 Білій Л.В.",ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
36,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний (біля будинку № 1а) Ільницькій  І.Л.,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
37,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою м.Кам’янець-Подільський, учгосп Галкіній О.М.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
38,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 71 Кицанюку Ю.В.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ПРОТИ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,ЗА,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
39,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Вокзальна, 87 Пишнюку О.М.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,УТРИМАВСЯ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,УТРИМАВСЯ,ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
