id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Костинюк Володимир Володимирович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
11,Про внесення змін та доповнень до рішення 46 сесії міської ради VІІ скликання від 05.12.2017 № 4/46., НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
12,Про впровадження пілотного проекту щодо організації електронних торгів (аукціонів) з використанням електронної торгової системи «Prozorro.Продажі»., НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
13,"10.  Про повернення у власність Релігійній організації «Курія Кам’янець-Подільської Дієцезії Римсько-Католицької Церкви в Україні» нежитлової будівлі за адресою пл. Польський ринок, 18.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
14,"10.  Про повернення у власність Релігійній організації «Курія Кам’янець-Подільської Дієцезії Римсько-Католицької Церкви в Україні» нежитлової будівлі за адресою пл. Польський ринок, 18.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
15,"Про прийняття в комунальну власність міста підстанції 2КТПГ-2к-400, влаштованої ЖБК «Нігинський – 61».", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
16,"Про прийняття в комунальну власність міста підстанції 2КТПГ-2к-400, влаштованої ЖБК «Нігинський – 61».", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
17,Про надання дозволу КП «Міськтепловоденергія» на отримання кредиту для поповнення обігових коштів., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,Про внесення змін до рішення 23 сесії міської ради від 20.12.2016 № 24/23., ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
19,"Про внесення змін до міської Програми соціального захисту дітей, що перебувають у складних життєвих обставинах, дітей-сиріт та дітей, позбавлених батьківського піклування на 2016-2020 роки, затвердженої рішенням дев’яносто третьої сесії Кам’янець-Подільської міської ради від 13.10.2015 № 4/93", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
20,"Про звернення до Президента України, Кабінету Міністрів України і Верховної Ради України щодо неприпустимості підвищення ціни на газ для населення.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
21,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе, 32 ТзОВ ""Альфа-2017"".", ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
22,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31 Кам’янець-Подільській міській лікарні № 1.", ЗА, ПРОТИ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
23,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 31/1 Кам’янець-Подільській міській раді.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
24,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 ТзОВ ""КВЗП “Кам’янець-Подільський"".", ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ, ЗА,ЗА,НЕ ГОЛОСУВАВ, ЗА,ЗА,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА,УТРИМАВСЯ, ЗА,ЗА, ЗА,УТРИМАВСЯ, ЗА, ЗА, ЗА,ЗА, ЗА,УТРИМАВСЯ, ЗА, ЗА,ВІДСУТНІЙ,ЗА,ЗА,УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
25,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Керничному В.М.
 7.  Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Онуфран А.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Керничному В.М.
 7.  Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Онуфран А.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Керничному В.М.
 7.  Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Онуфран А.М.Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Керничному В.М.
 7.  Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Онуфран А.М.", ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
26,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Ценського, 1/2 Дегтярьовій Л.М.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
27,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Руслана Коношенка, 3 ТзОВ ""Ера М"".", ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
28,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 27/29 ТзОВ “Перлина-Поділля”.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
29,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 27/29 ТзОВ “Перлина-Поділля”.", НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
30,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 27/29 ТзОВ “Перлина-Поділля”.", ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
31,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Калиновий, 34/10 Музиці В.Ю.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
32,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 1 Семідку В.П.", ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
33,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Суворова Крочак А.В.,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
34,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Молодіжна Федоруку А.Д., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
35,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Гунська, 16/2 Кацай С.В.", НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
36,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 4, гараж № 681 Гамалію А.В.", ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
37,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою ГБК № 6, гараж № 87 Чикурковій А.Д.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
