id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,оПН ОПХИМЪРРЪ ДН ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ РПЮМЯТНПЛЮРНПЮ рл √ 160  ГАСДНБЮМНЦН тно лЮЯРХЙЮЬЕЛ ю.╡. МЮ ПНГЁ БСКХЖЭ мЁЦХМЯЭЙНЦН ЬНЯЕ РЮ бЮЯХКЭ╨БЮ., гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
12,оПН ОПХИМЪРРЪ ДН ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ РПЮМЯТНПЛЮРНПЮ рл √ 160  ГАСДНБЮМНЦН тно лЮЯРХЙЮЬЕЛ ю.╡. МЮ ПНГЁ БСКХЖЭ мЁЦХМЯЭЙНЦН ЬНЯЕ РЮ бЮЯХКЭ╨БЮ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
13,"оПН ОЕПЕДЮВС Б ЯРЮРСРМХИ ЙЮОЁРЮК йо═╚лЁЯЭЙРЕОКНБНДЕМЕПЦЁЪ╩═РПЮМЯТНПЛЮРНПЮ рл √ 160 10/0,4 с/см-0 Б ЙНЛОКЕЙРЁ Г йро ЙЮАЕКЭ-ЙЮАЕКЭ.", гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
14,оПН БХКСВЕММЪ Г ЯРЮРСРМНЦН ЙЮОЁРЮКС до ╚оЁБДЕММЕ╩ фйо ╚оЁБДЕМЭ╩., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
15,оПН БХКСВЕММЪ Г ЯРЮРСРМНЦН ЙЮОЁРЮКС фйо ╚оЁБДЕМЭ╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
16,"оПН ЯРБНПЕММЪ ЙНЛЁЯЁ© Г ОПХИНЛС - ОЕПЕДЮВЁ ДН ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ МЕФХРКНБНЦН ОПХЛЁЫЕММЪ КЁЙЮПЯЭЙН© ЮЛАСКЮРНПЁ© ОН БСК. оПХБНЙГЮКЭМЁИ, 19.", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
17,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 17 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 14.09.2016 ╧ 6/17., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
18,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 21 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 15.11.2016 ╧ 5/21., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
19,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН БХЙНМЮММЪ оПНЦПЮЛХ ╚яЮМЁРЮПМЮ НВХЯРЙЮ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2016 ПЁЙ╩., ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
20,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН БХЙНМЮММЪ оПНЦПЮЛХ ╚яЮМЁРЮПМЮ НВХЯРЙЮ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2016 ПЁЙ╩., ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
21,оПН ГЮРБЕПДФЕММЪ ГБЁРС ОПН БХЙНМЮММЪ оПНЦПЮЛХ ╚сРПХЛЮММЪ ЙКЮДНБХЫ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2016 ПЁЙ╩., ме цнкнясбюб, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
22,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚аКЮЦНСЯРПЁИ Л. йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 ПЁЙ╩., ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
23,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚аКЮЦНСЯРПЁИ Л. йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 ПЁЙ╩., ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
24,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚яЮМЁРЮПМЮ НВХЯРЙЮ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 ПЁЙ╩., ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
25,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚сРПХЛЮММЪ ЙКЮДНБХЫ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017 ПЁЙ╩, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
26,"оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚гЮАЕГОЕВЕММЪ НОЕПЮРХБМНЦН ЁМТНПЛСБЮММЪ РЮ ЙНМРПНКЧ ГЮ АКЮЦНСЯРПН╨Л, ЯЮМЁРЮПМХЛ ЯРЮМНЛ МЮ РЕПХРНПЁ© ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН С 2017 ПНЖЁ╩.", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
27,"оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚гЮАЕГОЕВЕММЪ НОЕПЮРХБМНЦН ЁМТНПЛСБЮММЪ РЮ ЙНМРПНКЧ ГЮ АКЮЦНСЯРПН╨Л, ЯЮМЁРЮПМХЛ ЯРЮМНЛ МЮ РЕПХРНПЁ© ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН С 2017 ПНЖЁ╩.", српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
28,"оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚гЮАЕГОЕВЕММЪ НОЕПЮРХБМНЦН ЁМТНПЛСБЮММЪ РЮ ЙНМРПНКЧ ГЮ АКЮЦНСЯРПН╨Л, ЯЮМЁРЮПМХЛ ЯРЮМНЛ МЮ РЕПХРНПЁ© ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН С 2017 ПНЖЁ╩.  дНПСВЕММЪ", гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
29,оПН ГЮРБЕПДФЕММЪ ЛЁЯЭЙН© оПНЦПЮЛХ ╚уЮПВСБЮММЪ ДЁРЕИ╩ МЮ 2017 ПЁЙ., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
30,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚пНГБХРНЙ РЮ ОЁДРПХЛЙЮ МЮСЙНБН-ДНЯКЁДМХЖЭЙН© ПНАНРХ Б ГЮЦЮКЭМННЯБЁРМЁУ РЮ ОНГЮЬЙЁКЭМХУ МЮБВЮКЭМХУ ГЮЙКЮДЮУ ЛЁЯРЮ╩ МЮ 2017-2018 М. П., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
31,оПН ГЮРБЕПДФЕММЪ ЙНЛОКЕЙЯМН© ОПНЦПЮЛХ ЯНЖЁЮКЭМНЦН ГЮУХЯРС ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН МЮ 2017-2021 ПНЙХ., гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
32,"оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ОЁДЦНРНБЙХ Ё ОПНБЕДЕММЪ ГЮЦЮКЭМНЛЁЯЭЙХУ ГЮУНДЁБ, БЁДГМЮВЕММЪ ГЮЦЮКЭМНДЕПФЮБМХУ РЮ ОПНТЕЯЁИМХУ ЯБЪР, ЧБЁКЕИМХУ ДЮР МЮ 2017 ПЁЙ.", гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
33,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ТЁМЮМЯНБНЦН ГЮАЕГОЕВЕММЪ МЮЦНПНДФЕММЪ БЁДГМЮЙЮЛХ ЛЁЯЭЙНЦН ЦНКНБХ РЮ ЛЁЯЭЙН© ПЮДХ МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
34,оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ТЁМЮМЯСБЮММЪ ОЁДЦНРНБЙХ РЮ ОПНБЕДЕММЪ ГЕЛЕКЭМХУ РНПЦЁБ С ТНПЛЁ ЮСЙЖЁНМС Ё БХЙСОС ГЕЛЕКЭМХУ ДЁКЪМНЙ Б ЛЁЯРЁ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙХИ МЮ 2017 ПЁЙ., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
35,"оПН ГЮРБЕПДФЕММЪ лЁЯЭЙН© ЙНЛОКЕЙЯМН© ОПНЦПЮЛХ ЯНЖЁЮКЭМН© ОЁДРПХЛЙХ СВЮЯМХЙЁБ ЮМРХРЕПНПХЯРХВМН© НОЕПЮЖЁ© РЮ ВКЕМЁБ ©У ЯЁЛЕИ, Ю РЮЙНФ ЯЁЛЕИ ГЮЦХАКХУ СВЮЯМХЙЁБ ЮМРХРЕПНПХЯРХВМН© НОЕПЮЖЁ©, БЁИЯЭЙНБНЯКСФАНБЖЁБ Ё ОНПЮМЕМХУ СВЮЯМХЙЁБ юрн РЮ БЬЮМСБЮММЪ ОЮЛ▓ЪРЁ ГЮЦХАКХУ МЮ 2017 ПЁЙ.", гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
36,"оПН ГЮРБЕПДФЕММЪ ╚лЁЯЭЙН© оПНЦПЮЛХ ЯОПХЪММЪ ПНАНРЁ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН НА▓╨ДМЮМНЦН ЛЁЯЭЙНЦН БЁИЯЭЙНБНЦН ЙНЛЁЯЮПЁЮРС ЫНДН ОЕПЕБЕГЕММЪ ЦПНЛЮДЪМ, ЫН МЮОПЮБКЪЧРЭЯЪ ДКЪ ОПНУНДФЕММЪ БЁИЯЭЙНБН© ЯКСФАХ ГЮ ЙНМРПЮЙРНЛ С гАПНИМЁ яХКХ сЙПЮ©МХ МЮ 2017 ПЁЙ╩.", гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
