id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,"оПН БМЕЯЕММЪ ДНОНБМЕММЪ ДН ПЁЬЕММЪ 84 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VI ЯЙКХЙЮММЪ БЁД 27.05.2015 ╧ 3/84 ╚оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ╚йЮОЁРЮКЭМХИ ПЕЛНМР БМСРПЁЬМЭНАСДХМЙНБХУ ЛЕПЕФ, Б Р.В. БХЦНРНБКЕММЪ ойд╩ МЮ 2015-2017 ПНЙХ╩.", српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб,б╡дясрм╡и, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, опнрх, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, опнрх, гю,п╡ьеммъ ме опхимърн
12,оПН МЮДЮММЪ ДНГБНКС МЮ БХЙСО ЙНРЕКЭМНЦН НАКЮДМЮММЪ. оПНОНГХЖЁ© оНЯЁРЙЮ, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
13,оПН МЮДЮММЪ ДНГБНКС МЮ БХЙСО ЙНРЕКЭМНЦН НАКЮДМЮММЪ., гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
14,ЯРБНПЕММЪ ЙНЛЁЯЁ©., ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, опнрх, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, опнрх, опнрх, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
15,оПН ОПХОХМЕММЪ ОПЮБЮ ЙНПХЯРСБЮММЪ ГЕЛЕКЭМНЧ ДЁКЪМЙНЧ оюр ╚бНКХМЭАЮЙЮКЁЪ╩ ГЮ ЮДПЕЯНЧ БСК. уЛЕКЭМХЖЭЙЕ ЬНЯЕ √ БСК. оЮПУНЛЕМЙЮ √ ОПНЯО. цПСЬЕБЯЭЙНЦН., ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, српхлюбяъ, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю,п╡ьеммъ ме опхимърн
16,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 6 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.01.2016  ╧═2/6., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
17,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ БНЯЭЛН© ЯЕЯЁ© VI ЯЙКХЙЮММЪ БЁД 29.03.2011 ╧ 22., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
18,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ ЛЁЯЭЙН© ПЮДХ БЁД 05.07.2016 ПНЙС ╧ 18/14 ╚оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН СОПЮБКЁММЪ МЮДЮММЪ ЮДЛЁМЁЯРПЮРХБМХУ ОНЯКСЦ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ РЮ пЕЦКЮЛЕМРС СОПЮБКЁММЪ МЮДЮММЪ ЮДЛЁМЁЯРПЮРХБМХУ ОНЯКСЦ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ Б МНБЁИ ПЕДЮЙЖЁ©╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
19,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 53═ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 10.12.2013 ╧═23/53., српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ,п╡ьеммъ ме опхимърн
20,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 1-3, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
21,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 4, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
22,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 5, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
23,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 6, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
24,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 7, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю,п╡ьеммъ опхимърн
25,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 8-11, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
26,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 12, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, гю, гю, гю,п╡ьеммъ опхимърн
27,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 13-17, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
28,гЕЛЕКЭМЁ ОХРЮММЪ. ╧ 18, српхлюбяъ, опнрх, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, опнрх, опнрх, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
29,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 19, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
30,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 20, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
31,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 21, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
32,гЕЛЕКЭМЁ ОХРЮММЪ.  ╧ 22, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
33,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 23, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
34,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 24, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ,п╡ьеммъ ме опхимърн
35,гЕЛЕКЭМЁ ОХРЮММЪ.   ╧ 25 МЮДЮММЪ ЯКНБЮ ГЮЪБМХЙС, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
