id,FullAskText,аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ,аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ,аНИЙН юМДПЁИ юМЮРНКЁИНБХВ,бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ,цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ,цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ,цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ,цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ,дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ,дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ,фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ,йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ,йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ,йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ,йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ,йНЯРЧЙНБХВ дЛХРПН йЮПКНБХВ,лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ,лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ,лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ,мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ,мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ,оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ,оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ,оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ,пНГАЮЛ лХЙНКЮ мЧЯЕБХВ,яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ,яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ,яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ,яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ,рЙЮВ нКЕЦ бЮЯХКЭНБХВ,рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ,жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ,вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ,вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ,ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ,ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх, гю, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
12,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
13,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, гю, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю,п╡ьеммъ ме опхимърн
14,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
15,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, опнрх, опнрх, српхлюбяъ, опнрх, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
16,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, опнрх, опнрх, српхлюбяъ, опнрх, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх,п╡ьеммъ ме опхимърн
17,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю,п╡ьеммъ опхимърн
18,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, опнрх, гю, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
19,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
20,гЕЛЕКЭМЁ ОХРЮММЪ., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
21,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, опнрх, српхлюбяъ, опнрх, гю, српхлюбяъ, опнрх, гю, српхлюбяъ, гю, ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
22,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
23,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
24,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
25,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
26,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб,п╡ьеммъ опхимърн
27,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
28,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
29,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, опнрх, опнрх, гю, српхлюбяъ, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
30,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
31,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, опнрх, опнрх, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, гю, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
32,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
33,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
34,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
35,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, српхлюбяъ, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
36,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
37,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, опнрх, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, опнрх, опнрх, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
38,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
39,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
40,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
41,гЕЛЕКЭМЁ ОХРЮММЪ., српхлюбяъ, опнрх, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, опнрх, опнрх, опнрх, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, српхлюбяъ, српхлюбяъ, опнрх, српхлюбяъ, српхлюбяъ, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, опнрх, српхлюбяъ, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
42,гЕЛЕКЭМЁ ОХРЮММЪ., ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
43,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
44,гЕЛЕКЭМЁ ОХРЮММЪ., гю, опнрх, опнрх, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, опнрх, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, опнрх,п╡ьеммъ опхимърн
45,гЕЛЕКЭМЁ ОХРЮММЪ., гю, гю, гю, српхлюбяъ, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, опнрх, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
