id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гордійчук Валерій Григорович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович, Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Полатайко Олександр Миколайович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,result
11,Про внесення змін до рішення сесії міської ради від 07.08.2018 № 132/58 «Про виділення коштів з міського бюджету на збільшення статутного капіталу КП  «Міськтепловоденергія».,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
12,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП  «Міськтепловоденергія».,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
13,Про надання пільги зі сплати земельного податку на 2019 рік.,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
14,Про надання пільги зі сплати земельного податку на 2019 рік.,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
15,Про надання пільги зі сплати земельного податку на 2019 рік.,ЗА,ЗА,НЕ ГОЛОСУВАВ,ПРОТИ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, ЗА, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ЗА, ПРОТИ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
16,Про надання пільги зі сплати земельного податку на 2019 рік.,ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
17,Про надання пільги зі сплати земельного податку на 2019 рік., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,Про надання пільги зі сплати земельного податку на 2019 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
19,Про надання пільги зі сплати земельного податку на 2019 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
20,Про надання пільги зі сплати земельного податку на 2019 рік., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
21,Про внесення змін до рішення 26 (позачергової) сесії міської ради VII скликання від 14.02.2017 року № 1/26 «Про затвердження Програми «Теплий дім» на 2017-2018 роки»., ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
22,Про затвердження операторів паркування транспортних засобів на території міста.,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
23,Про внесення змін до рішення 46 сесії міської ради від 05.12.2017 № 37/46.,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
24,Про внесення змін до рішення 46 сесії міської ради від 05.12.2017 № 37/46.,ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
25,Про внесення змін до рішення сесії міської ради від 05.12.2017 № 14/46 «Про затвердження Програми «Санітарне утримання території міста Кам’янця-Подільського на 2018 рік»,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
26,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 № 1/55, рішенням 56 сесії міської ради від 05.06.2018 № 21/56, рішенням 57 сесії міської ради від 06.07.2018 № 24/57, рішенням 58 сесії міської ради від 07.08.2018 № 135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59.",ЗА,ЗА,ЗА,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
27,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 № 1/55, рішенням 56 сесії міської ради від 05.06.2018 № 21/56, рішенням 57 сесії міської ради від 06.07.2018 № 24/57, рішенням 58 сесії міської ради від 07.08.2018 № 135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59.",НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
28,"Про внесення змін та доповнень до рішення 48 (позачергової) сесії міської ради від 22.12.2017 № 9/48 «Про міський бюджет на 2018 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 49 сесії міської ради від 10.01.2018 № 20/49, рішенням 51 (позачергової) сесії міської ради від 14.02.2018 № 7/51, рішенням 52 сесії міської ради від 06.03.2018 № 25/52, рішенням 53 сесії міської ради від 03.04.2018 № 147/53, рішенням 54 сесії міської ради від 03.05.2018 № 98/54, рішенням 55 (позачергової) сесії міської ради від 08.05.2018 № 1/55, рішенням 56 сесії міської ради від 05.06.2018 № 21/56, рішенням 57 сесії міської ради від 06.07.2018 № 24/57, рішенням 58 сесії міської ради від 07.08.2018 № 135/58, рішенням 59 сесії міської ради від 04.09.2018 № 19/59.",ЗА,УТРИМАВСЯ,ЗА,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
29,Земельні питання,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
30,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе,  32 ТзОВ “Берест-2012”.",ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
31,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кіргізова, 9 (навпроти будівлі № 12) публічному акціонерному товариству „Хмельницькобленерго”.",ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
32,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 3 Паур Н.М., Чучуйко Л.Г., Мастикаш І.І.",ЗА,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,УТРИМАВСЯ,ВІДСУТНІЙ,ВІДСУТНІЙ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
33,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кіргізова, 31 Осіпчук  Н.М.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
34,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Оринінське шосе, 1 Кульбіцькому М.М.",НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
35,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Козачий, 33”а” Буданцевій А.І.",ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
36,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Козачий, 5 Федічкіній Є.Ф., Федічкіній Л.А.",ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ЗА,НЕ ГОЛОСУВАВ,ЗА,ЗА,ВІДСУТНІЙ,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
37,"Блок питань: 9-11, 13-18
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Плотніцькій  Л.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Мельнику Б.Ю.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Куриці С.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Лібу І.Є.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Гончаруку А.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Біньковському  О.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Зазуляк Н.І.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Гороху Д.О.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва (за будівлею № 82Б) Карпутіній С.М",НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,ВІДСУТНІЙ,НЕ ГОЛОСУВАВ,ПРОТИ,НЕ ГОЛОСУВАВ,ПРОТИ,УТРИМАВСЯ,ПРОТИ,НЕ ГОЛОСУВАВ,НЕ ГОЛОСУВАВ,УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
