id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,гБЁР йо ╚йНЛСМРПЮМЯЯЕПБЁЯ╩ ОПН ТЁМЮМЯНБН-ЦНЯОНДЮПЯЭЙС ДЁЪКЭМЁЯРЭ С 2016 ПНЖЁ., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
12,"гБЁР ОПН ПНАНРС ОНЯРЁИМН© ЙНЛЁЯЁ© ЛЁЯЭЙН© ПЮДХ Г ОХРЮМЭ ГЕЛКЕЙНПХЯРСБЮММЪ, ЮПУЁРЕЙРСПХ, АСДЁБМХЖРБЮ РЮ ЕЙНКНЦЁ© ГЮ 2016 ПЁЙ.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, гю, гю,п╡ьеммъ опхимърн
13,"гБЁР ОПН ПНАНРС ОНЯРЁИМН© ЙНЛЁЯЁ© ЛЁЯЭЙН© ПЮДХ Г ОХРЮМЭ ГЕЛКЕЙНПХЯРСБЮММЪ, ЮПУЁРЕЙРСПХ, АСДЁБМХЖРБЮ РЮ ЕЙНКНЦЁ© ГЮ 2016 ПЁЙ.", ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
14,"гБЁР ОПН ПНАНРС ОНЯРЁИМН© ЙНЛЁЯЁ© ЛЁЯЭЙН© ПЮДХ Г ОХРЮМЭ ГЕЛКЕЙНПХЯРСБЮММЪ, ЮПУЁРЕЙРСПХ, АСДЁБМХЖРБЮ РЮ ЕЙНКНЦЁ© ГЮ 2016 ПЁЙ.", гю, српхлюбяъ, гю, гю, српхлюбяъ, гю, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, српхлюбяъ,п╡ьеммъ опхимърн
15,"гБЁР ОПН ПНАНРС ОНЯРЁИМН© ЙНЛЁЯЁ© ЛЁЯЭЙН© ПЮДХ Г ОХРЮМЭ ГЕЛКЕЙНПХЯРСБЮММЪ, ЮПУЁРЕЙРСПХ, АСДЁБМХЖРБЮ РЮ ЕЙНКНЦЁ© ГЮ 2016 ПЁЙ.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
16,оПН ГЮРБЕПДФЕММЪ ЛЁЯЭЙН© оПНЦПЮЛХ ЯОПХЪММЪ ПНАНРЁ йЮЛ'ЪМЕЖЭ-оНДЁКЭЯЭЙНЛС НА▓╨ДМЮМНЛС БЁИЯЭЙНБНЛС ЙНЛЁЯЮПЁЮРС ЫНДН ГДЁИЯМЕММЪ ОЁДЦНРНБЙХ Ё ОПНБЕДЕММЪ ОПХГНБС ЦПНЛЮДЪМ сЙПЮ©МХ МЮ ЯРПНЙНБС БЁИЯЭЙНБС ЯКСФАС МЮ 2017 ПЁЙ., гю, гю, б╡дясрм╡и, гю, ме цнкнясбюб, гю, б╡дясрм╡и, б╡дясрм╡и, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
17,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., српхлюбяъ, гю, б╡дясрм╡и, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, гю, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, српхлюбяъ, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
18,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.     ОНБЕПМЕММЪ ДН ПНГЦКЪДС, гю, гю, б╡дясрм╡и, гю, б╡дясрм╡и, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю,п╡ьеммъ опхимърн
19,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 83 ЯЕЯЁ© V╡ ЯЙКХЙЮММЪ БЁД 21.04.2015 ╧ 162/83 ╚оПН ЯРБНПЕММЪ ПЕ╨ЯРПС МЮГБ БСКХЖЭ ЛЁЯРЮ, ЪЙЁ ОПНОНМСЧРЭЯЪ ДН ОЕПЕИЛЕМСБЮММЪ╩ РЮ ПЁЬЕММЪ 17 ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 14.09.2016 ╧ 116/17 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.    МЮДЮММЪ ЯКНБЮ", гю, гю, гю, гю, гю, гю, б╡дясрм╡и, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю,п╡ьеммъ опхимърн
20,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 83 ЯЕЯЁ© V╡ ЯЙКХЙЮММЪ БЁД 21.04.2015 ╧ 162/83 ╚оПН ЯРБНПЕММЪ ПЕ╨ЯРПС МЮГБ БСКХЖЭ ЛЁЯРЮ, ЪЙЁ ОПНОНМСЧРЭЯЪ ДН ОЕПЕИЛЕМСБЮММЪ╩ РЮ ПЁЬЕММЪ 17 ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 14.09.2016 ╧ 116/17 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.    МЮДЮММЪ ЯКНБЮ", гю, опнрх, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, б╡дясрм╡и, гю, гю, српхлюбяъ, гю, гю, гю, б╡дясрм╡и, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, б╡дясрм╡и, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
21,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 83 ЯЕЯЁ© V╡ ЯЙКХЙЮММЪ БЁД 21.04.2015 ╧ 162/83 ╚оПН ЯРБНПЕММЪ ПЕ╨ЯРПС МЮГБ БСКХЖЭ ЛЁЯРЮ, ЪЙЁ ОПНОНМСЧРЭЯЪ ДН ОЕПЕИЛЕМСБЮММЪ╩ РЮ ПЁЬЕММЪ 17 ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 14.09.2016 ╧ 116/17 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.    ОНБЕПМЕММЪ ДН ПНГЦКЪДС", гю, опнрх, ме цнкнясбюб, гю, ме цнкнясбюб, гю, ме цнкнясбюб, б╡дясрм╡и, гю, гю, ме цнкнясбюб, гю, гю, гю, ме цнкнясбюб, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, опнрх,п╡ьеммъ опхимърн
22,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 83 ЯЕЯЁ© V╡ ЯЙКХЙЮММЪ БЁД 21.04.2015 ╧ 162/83 ╚оПН ЯРБНПЕММЪ ПЕ╨ЯРПС МЮГБ БСКХЖЭ ЛЁЯРЮ, ЪЙЁ ОПНОНМСЧРЭЯЪ ДН ОЕПЕИЛЕМСБЮММЪ╩ РЮ ПЁЬЕММЪ 17 ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 14.09.2016 ╧ 116/17 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.    МЮДЮММЪ ЯКНБЮ", гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, б╡дясрм╡и, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, опнрх, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, б╡дясрм╡и, ме цнкнясбюб, опнрх,п╡ьеммъ ме опхимърн
23,"оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 83 ЯЕЯЁ© V╡ ЯЙКХЙЮММЪ БЁД 21.04.2015 ╧ 162/83 ╚оПН ЯРБНПЕММЪ ПЕ╨ЯРПС МЮГБ БСКХЖЭ ЛЁЯРЮ, ЪЙЁ ОПНОНМСЧРЭЯЪ ДН ОЕПЕИЛЕМСБЮММЪ╩ РЮ ПЁЬЕММЪ 17 ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 14.09.2016 ╧ 116/17 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩.    МЮДЮММЪ ЯКНБЮ", гю, опнрх, гю, гю, опнрх, гю, б╡дясрм╡и, б╡дясрм╡и, гю, гю, ме цнкнясбюб, гю, гю, гю, б╡дясрм╡и, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю, српхлюбяъ, српхлюбяъ, гю, б╡дясрм╡и, гю, опнрх,п╡ьеммъ опхимърн
24,оПН ОЕПЕИЛЕМСБЮММЪ ОПНБСКЙЁБ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН., гю, гю, гю, гю, гю, гю, ме цнкнясбюб, б╡дясрм╡и, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
25,оПН МЮИЛЕМСБЮММЪ МНБХУ БСКХЖЭ ЛЁЯРЮ., гю, гю, гю, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
26, оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩. МЮДЮММЪ ЯКНБЮ, српхлюбяъ, гю, гю, гю, гю, гю, гю, б╡дясрм╡и, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю,п╡ьеммъ опхимърн
27,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩. МЮДЮММЪ ЯКНБЮ, српхлюбяъ, гю, гю, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, б╡дясрм╡и, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, гю, гю, ме цнкнясбюб, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю,п╡ьеммъ ме опхимърн
28,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩. ОНБЕПМЕММЪ ДН ЯКНБЮ, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
29,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩. ГМЪРХ Г ПНГЦКЪДС, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб,п╡ьеммъ ме опхимърн
30,оПН БМЕЯЕММЪ ГЛЁМ ДН ПЁЬЕММЪ 19═ ЯЕЯЁ© V╡╡ ЯЙКХЙЮММЪ БЁД 18.10.2016 ╧═ 111/19 ╚оПН ОЕПЕИЛЕМСБЮММЪ БСКХЖЭ ЛЁЯРЮ йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., српхлюбяъ, гю, гю, српхлюбяъ, б╡дясрм╡и, ме цнкнясбюб, б╡дясрм╡и, б╡дясрм╡и, ме цнкнясбюб, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, опнрх, б╡дясрм╡и, гю, српхлюбяъ, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, гю, опнрх, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, српхлюбяъ, б╡дясрм╡и, опнрх, гю,п╡ьеммъ ме опхимърн
