id,FullAskText, Бабчинський Олександр Васильович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Качуровський Анатолій Іванович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Микуляк Іван Михайлович, Наглюк Юлія Вікторівна, Невенчан Геннадій Володимирович, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Старченко Світлана Володимирівна, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
11,"Звіт про роботу постійної комісії міської ради з питань освіти, культури, туризму, молоді та спорту за 2017 рік", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
12,Про затвердження звіту про виконання у 2017 році Цільової програми захисту населення і території міста Кам’янця-Подільського від надзвичайних ситуацій техногенного та природного характеру на 2016 – 2020 роки (зі змінами та доповненнями), ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
13,Про затвердження Вимог щодо виконання робіт з будівництва та благоустрою на території історичних ареалів міста Кам’янця-Подільського, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
14,Про затвердження протоколу засідання постійно діючої комісії з розгляду і вирішення земельних спорів від 09 лютого 2018 року, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
15,Про затвердження протоколу засідання постійно діючої комісії з розгляду і вирішення земельних спорів від 23 лютого 2018 року, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ЗА,РІШЕННЯ ПРИЙНЯТО
16,Про внесення змін до порядку розміщення об’єктів зовнішньої реклами у м. Кам’янці-Подільському, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
17,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 2а Кам'янець-Подільській автомобільній школі Товариства сприяння оборони України", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Голосківське шосе, 1 Дочірньому підприємству ""Хмельницький облавтодор"" Відкритого акціонерного товариства ""Державна акціонерна компанія ""Автомобільні дороги України", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
19,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Васильєва, 2 ПАТ ""Подільська телефонна компанія ""Мітел", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
20,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Панфілова, 22 релігійній організації ""Релігійна громада (помісна церква) євангельських християн-баптистів ""Новий заповіт", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
21,"Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Васильєва, 13""б"" Дажид О.Г.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА,РІШЕННЯ ПРИЙНЯТО
22,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Князів Коріатовичів, 1 ПАТ ""Укрсоцбанк", УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
23,"Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Драй-Хмари, 48 ПОГ ""Кам'янець-Подільське учбово-виробниче підприємство Українського товариства сліпих", НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
24,"Блок питань: 8-9
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Гагаріна, 56, військове містечко № 25 Міністерству оборони України
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Суворова, 12, військове містечко № 4 Міністерству оборони УкраїниБлок питань: 8-9
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Гагаріна, 56, військове містечко № 25 Міністерству оборони України
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Суворова, 12, військове містечко № 4 Міністерству оборони УкраїниБлок питань: 8-9
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Гагаріна, 56, військове містечко № 25 Міністерству оборони України
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Суворова, 12, військове містечко № 4 Міністерству оборони УкраїниБлок питань: 8-9
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Гагаріна, 56, військове містечко № 25 Міністерству оборони України
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Суворова, 12, військове містечко № 4 Міністерству оборони України", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
25,"Блок питань: 10-11
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Гадаю А.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Іванюк В.О.Блок питань: 10-11
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Гадаю А.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Іванюк В.О.Блок питань: 10-11
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Гадаю А.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Іванюк В.О.Блок питань: 10-11
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Гадаю А.І.
Про надання дозволу на розроблення технічної документації із землеустрою щодо встановлення (відновлення) меж земельної ділянки в натурі (на місцевості) за адресою вулиця Нігинське шосе, 48 Іванюк В.О.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
26,"Блок питань: 12-21
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Бусигіна, 16 Барабановій Н.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3 Фефеловій Н.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3/4 Олійнику В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Об'їзний, 8 Делечук І.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова, 13 Ганзюку П.Я., Осадчук Л.Ф.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Круглий, 8 Олійник О.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1 Кузьміч Н.А
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1а Ковальчук Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1б Рафієвій Іраді Аділь Кизи
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 27 Ролі Л.М.Блок питань: 12-21
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Бусигіна, 16 Барабановій Н.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3 Фефеловій Н.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3/4 Олійнику В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Об'їзний, 8 Делечук І.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова, 13 Ганзюку П.Я., Осадчук Л.Ф.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Круглий, 8 Олійник О.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1 Кузьміч Н.А
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1а Ковальчук Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1б Рафієвій Іраді Аділь Кизи
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 27 Ролі Л.М.Блок питань: 12-21
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Бусигіна, 16 Барабановій Н.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3 Фефеловій Н.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3/4 Олійнику В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Об'їзний, 8 Делечук І.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова, 13 Ганзюку П.Я., Осадчук Л.Ф.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Круглий, 8 Олійник О.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1 Кузьміч Н.А
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1а Ковальчук Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1б Рафієвій Іраді Аділь Кизи
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 27 Ролі Л.М.Блок питань: 12-21
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Бусигіна, 16 Барабановій Н.Б.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3 Фефеловій Н.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Івана Франка, 3/4 Олійнику В.В.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Об'їзний, 8 Делечук І.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Чехова, 13 Ганзюку П.Я., Осадчук Л.Ф.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Круглий, 8 Олійник О.С.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1 Кузьміч Н.А
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1а Ковальчук Р.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Кренкеля, 1б Рафієвій Іраді Аділь Кизи
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе, 27 Ролі Л.М.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
27,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Харук Є.М., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
28,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Нігинське шосе Харук Є.М., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
29,Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Князя Володимира (біля будинковолодіння № 20а) Покотильській Н.В., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
