id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Посітко Михайло Володимирович,Сімашкевич Михайло Євстафійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
13,Про збільшення статутного капіталу КП «Міськтепловоденергія»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
14,Звіт СКП «Міськліфт-світло» про фінансово-господарську діяльність у 2016 році., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
15,Звіт КП “Спецкомунтранс” про фінансово-господарську діяльність у 2016 році., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
16,Звіт КП “Спецкомунтранс” про фінансово-господарську діяльність у 2016 році., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
17,Про затвердження Програми «Покращення рівня навчально-матеріальної бази для підготовки учнівської молоді до служби у Збройних Силах України»., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,Про надання згоди міській поліклініці № 1 на списання основних засобів., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
19,Про затвердження звіту «Про виконання бюджету міста Кам’янця-Подільського за І  квартал 2017 року»., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
20,Про он-лайн трансляцію засідань сесій Кам’янець-Подільської міської ради., ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
21,Про он-лайн трансляцію засідань сесій Кам’янець-Подільської міської ради., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
22,Про скасування рішень виконавчого комітету., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
23,Про скасування рішень виконавчого комітету., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
24,Про скасування рішень виконавчого комітету.        правка Посітка М.В., УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
25,Про скасування рішень виконавчого комітету.        правка Кобильника В.В., ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
26,"Про скасування рішень виконавчого комітету.       зняти з розгляду, створити комісію", ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
27,Про скасування рішень виконавчого комітету., УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
28,"Про звернення депутатів Кам’янець-Подільської міської ради до Президента України, Кабінету Міністрів України, Міністерства юстиції України, Міністерства закордонних справ України, керівників депутатських фракцій Верховної Ради України, голови Комітету Верховної Ради України з питань сім’ї, молодіжної політики, спорту та туризму, голови Комітету Верховної Ради України з питань правової політики та правосуддя, голови Комітету Верховної Ради України з питань соціальної політики, зайнятості та пенсійного забезпечення, голови Комітету Верховної Ради України з питань європейської інтеграції щодо захисту інституції сім'ї в Україні.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
29,"Земельні питання: № 1. Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 25/10 Онуфрану О.В.", ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
30,"Земельні питання: № 2. Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою проспект Грушевського, 23 Чарчяну Г.С.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
31,"Земельні питання: № 3 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки на умовах оренди за адресою вулиця Маршала Харченка, 22""б"" ТДВ ""Кам'янець-Подільський завод ""Електрон"".", ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
32,"Земельні питання: № 4 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Суворова, 2 Національному університету харчових технологій.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
33,"Земельні питання: № 5 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Індустріальна, 1а Попель Д.А.", ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
34,"Земельні питання: № 6 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Матросова, 17 Кам’янець-Подільській міській раді.", ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
35,"Земельні питання: № 7 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Пушкінська, 31""в"" Кам’янець-Подільській міській раді.", ЗА, ПРОТИ, ЗА, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
36,"Земельні питання: № 8 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Хмельницьке шосе (район магазину ""Епіцентр"") КП Кам'янець-Подільської міської ради ""Добробут"".", ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
37,Земельні питання.      повернення до 7 проекту рішення, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
38,"Земельні питання: № 9 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Веліканова, 8 Шиндеру В.Є., Соломчук  А.П., Шлендіковій Л.П.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
39,"Земельні питання: № 10 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 27 Нарольському Е.А.Земельні питання: № 10 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Північний, 27 Нарольському Е.А.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
40,"Земельні питання: 
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Патріарха Мстислава, 8 (стара назва - вулиця Фабриціуса) Нарольському О.А.
Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Героїв Крут, 108 (стара назва - вулиця Фурманова) Фроловій  Ю.М., Каспрук О.М.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
41,"Земельні питання: № 13 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Північна, 15 Медянцю О.Г.", УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
42,"Земельні питання: № 14 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою провулок Колгоспний, 3/6 Білоус І.М.", УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
43,"Земельні питання: № 15 Про надання дозволу на розроблення проекту землеустрою щодо відведення земельної ділянки за адресою вулиця Тімірязєва, 40 Богач Т.Г.", УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
