id,FullAskText, аЮАВХМЯЭЙХИ нКЕЙЯЮМДП бЮЯХКЭНБХВ, аЕМЙЕМДНПТ цЕММЮДЁИ дЮМХКНБХВ, аНИЙН юМДПЁИ юМЮРНКЁИНБХВ, бЮЯХКЭЪМНБ дЛХРПН яЕПЦЁИНБХВ, цЮБПХКЧЙ бЮЯХКЭ бЮЯХКЭНБХВ, цЮЛЮКЁИ юМДПЁИ бЪВЕЯКЮБНБХВ, цНПДЁИВСЙ бЮКЕПЁИ цПХЦНПНБХВ, цСПНЛЮ юМЮРНКЁИ яРЕОЮМНБХВ, цСПНЛЮ яРЕОЮМ юМЮРНКЁИНБХВ, дЧДМ╨Б юМДПЁИ лХУЮИКНБХВ, дЧДМ╨Б юПРЕЛ лХУЮИКНБХВ, фХКЭВСЙ нКЕЙЯЮМДП аНПХЯНБХВ, йЮВСПНБЯЭЙХИ юМЮРНКЁИ ╡БЮМНБХВ, йНАХКЭМХЙ бЮЯХКЭ бНКНДХЛХПНБХВ, йНМЧЬЕМЙН юМДПЁИ нКЕЙЯЮМДПНБХВ, йНЯРХМЧЙ бНКНДХЛХП бНКНДХЛХПНБХВ, лЮГЁИ нКЕМЮ лХЙНКЮ©БМЮ, лЮЯРХЙЮЬ юМДПЁИ ╡ЦНПНБХВ, лХЙСКЪЙ ╡БЮМ лХУЮИКНБХВ, мЮЦКЧЙ чКЁЪ бЁЙРНПЁБМЮ, мЕБЕМВЮМ цЕММЮДЁИ бНКНДХЛХПНБХВ, оКХБЮМЧЙ чПЁИ бЮЯХКЭНБХВ, оНКЮРЮИЙН нКЕЙЯЮМДП лХЙНКЮИНБХВ, оНЯЁРЙН лХУЮИКН бНКНДХЛХПНБХВ, пНГАЮЛ лХЙНКЮ мЧЯЕБХВ, яЮБВСЙ мЮРЮКЁЪ тЕДНПЁБМЮ, яЁЛЮЬЙЕБХВ лХУЮИКН ╙БЯРЮТЁИНБХВ, яКНАНДЪМ бЮКЕПЁИ юМЮРНКЁИНБХВ, яРЮПВЕМЙН яБЁРКЮМЮ бНКНДХЛХПЁБМЮ, рЙЮВ нКЕЦ бЮЯХКЭНБХВ, рЙЮВСЙ нКЕЙЯЮМДП юМЮРНКЁИНБХВ, жБЁЦСМ аНПХЯ ъПНЯКЮБНБХВ, вХМВХЙ нКЕЙЯЮМДП яЕПЦЁИНБХВ, вХЯРЪЙНБ юМЮРНКЁИ ╙БЦЕМНБХВ, ьСУЮМНБ лХЙНКЮ лЮЙЮПНБХВ, ъПХМНБЯЭЙХИ чПЁИ кЕНМЁДНБХВ,result
11,оПН ОЕПЕДЮВС Г АЮКЮМЯС дЕОЮПРЮЛЕМРС ЕЙНМНЛЁЙХ РЮ ПНГБХРЙС ЁМТПЮЯРПСЙРСПХ МЮ АЮКЮМЯ 2-ЦН ДЕПФЮБМНЦН ОНФЕФМН-ПЪРСБЮКЭМНЦН ГЮЦНМС цНКНБМНЦН СОПЮБКЁММЪ дямя сЙПЮ©МХ С уЛЕКЭМХЖЭЙЁИ НАКЮЯРЁ ОНФЕФМНЦН ЮБРНЛНАЁКЪ ОЕПЬН© ДНОНЛНЦХ юдо═(33023)-01 ╚дЕКЭТЁМ╩ МЮ АЮГЁ цюг-33023., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
12,"оПН ОПХИМЪРРЪ ДН ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ МЕФХРКНБНЦН ОПХЛЁЫЕММЪ ЮЛАСКЮРНПЁ© ЯЁЛЕИМН© ЛЕДХЖХМХ ГЮ ЮДПЕЯНЧ БСК. яЮЙЯЮЦЮМЯЭЙНЦН, 1.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
13,"оПН ОПХИМЪРРЪ ДН ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ ЛЁЯРЮ МЕФХРКНБНЦН ОПХЛЁЫЕММЪ ЮЛАСКЮРНПЁ© ЯЁЛЕИМН© ЛЕДХЖХМХ ГЮ ЮДПЕЯНЧ БСК. яЮЙЯЮЦЮМЯЭЙНЦН, 1.", гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
14,оПН ПЕНПЦЮМЁГЮЖЁЧ ЬКЪУНЛ ОЕПЕРБНПЕММЪ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН МЮБВЮКЭМН-БХУНБМНЦН ЙНЛОКЕЙЯС ╧ 16 С ЯЙКЮДЁ ГЮЦЮКЭМННЯБЁРМЭН© ЬЙНКХ ╡-╡╡╡ ЯРСОЕМЁБ РЮ ЙНКЕЦЁСЛС уЛЕКЭМХЖЭЙН© НАКЮЯРЁ., гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, српхлюбяъ, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
15,оПН ПЕНПЦЮМЁГЮЖЁЧ ЬКЪУНЛ ОЕПЕРБНПЕММЪ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН МЮБВЮКЭМН-БХУНБМНЦН ЙНЛОКЕЙЯС ╧ 16 С ЯЙКЮДЁ ГЮЦЮКЭМННЯБЁРМЭН© ЬЙНКХ ╡-╡╡╡ ЯРСОЕМЁБ РЮ ЙНКЕЦЁСЛС уЛЕКЭМХЖЭЙН© НАКЮЯРЁ., гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, гю, гю,ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
16,оПН ПЕНПЦЮМЁГЮЖЁЧ ЬКЪУНЛ ОЕПЕРБНПЕММЪ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН МЮБВЮКЭМН-БХУНБМНЦН ЙНЛОКЕЙЯС ╧ 17 С ЯЙКЮДЁ ЯОЕЖЁЮКЁГНБЮМН© ГЮЦЮКЭМННЯБЁРМЭН© ЬЙНКХ ╡-╡╡╡═ЯРСОЕМЁБ Г ОНЦКХАКЕМХЛ БХБВЕММЪЛ ЁМТНПЛЮРХЙХ РЮ КЁЖЕЧ уЛЕКЭМХЖЭЙН© НАКЮЯРЁ., гю, опнрх, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, опнрх, гю, опнрх, гю, гю, гю, гю, опнрх, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, гю, гю, гю, гю, опнрх,п╡ьеммъ опхимърн
17,"оПН ПЕНПЦЮМЁГЮЖЁЧ ЬКЪУНЛ ГКХРРЪ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ЯРЮМЖЁ© ЧМХУ РСПХЯРЁБ, йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН ЕЙНКНЦН-МЮРСПЮКЁЯРХВМНЦН ЖЕМРПС СВМЁБЯЭЙН© ЛНКНДЁ РЮ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН ЛЁФЬЙЁКЭМНЦН МЮБВЮКЭМН-БХПНАМХВНЦН ЙНЛАЁМЮРС.", гю, српхлюбяъ, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, опнрх, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, српхлюбяъ,п╡ьеммъ опхимърн
18,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 3 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VII ЯЙКХЙЮММЪ БЁД 16.12.2015 ╧═8/3 ╚оПН ГЮРБЕПДФЕММЪ ЯЙКЮДС ЙНМЙСПЯМН© ЙНЛЁЯЁ© Г МЮДЮММЪ Б НПЕМДС ЛЮИМЮ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ РЕПХРНПЁЮКЭМН© ЦПНЛЮДХ Л. йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., српхлюбяъ, гю, гю, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, српхлюбяъ, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю, опнрх, гю, ме цнкнясбюб, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб,п╡ьеммъ ме опхимърн
19,оПН БМЕЯЕММЪ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 3 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ VII ЯЙКХЙЮММЪ БЁД 16.12.2015 ╧═8/3 ╚оПН ГЮРБЕПДФЕММЪ ЯЙКЮДС ЙНМЙСПЯМН© ЙНЛЁЯЁ© Г МЮДЮММЪ Б НПЕМДС ЛЮИМЮ ЙНЛСМЮКЭМН© БКЮЯМНЯРЁ РЕПХРНПЁЮКЭМН© ЦПНЛЮДХ Л. йЮЛ▓ЪМЖЪ-оНДЁКЭЯЭЙНЦН╩., ме цнкнясбюб, гю, гю, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, ме цнкнясбюб, гю, српхлюбяъ, гю, опнрх, гю, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, ме цнкнясбюб, гю, гю, опнрх, српхлюбяъ, ме цнкнясбюб, ме цнкнясбюб, гю, гю, ме цнкнясбюб, ме цнкнясбюб, гю, ме цнкнясбюб, гю,п╡ьеммъ ме опхимърн
20,"оПН БМЕЯЕММЪ ГЛЁМ ДН оПНЦПЮЛХ ПНГПНАКЕММЪ ЛЁЯРНАСДЁБМН© РЮ ГЕЛКЕБОНПЪДМН© ДНЙСЛЕМРЮЖЁ© С ЛЁЯРЁ йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС МЮ 2016-2019 ПНЙХ, ГЮРБЕПДФЕМН© ПЁЬЕММЪЛ 4═(ОНГЮВЕПЦНБН©) ЯЕЯЁ© йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙН© ЛЁЯЭЙН© ПЮДХ VI╡ ЯЙКХЙЮММЪ БЁД 23 ЦПСДМЪ 2015 ПНЙС ╧ 18/4 ╚оПН ГЮРБЕПДФЕММЪ оПНЦПЮЛХ ПНГПНАКЕММЪ ЛЁЯРНАСДЁБМН© РЮ ГЕЛКЕБОНПЪДМН© ДНЙСЛЕМРЮЖЁ© С ЛЁЯРЁ йЮЛ▓ЪМЖЁ-оНДЁКЭЯЭЙНЛС МЮ 2016-2019 ПНЙХ╩.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
21,"оПН БЯРЮМНБКЕММЪ ЛЕЛНПЁЮКЭМН© ДНЬЙХ МЮ ТЮЯЮДЁ ОПХЛЁЫЕММЪ ТЮЙСКЭРЕРС ЙНКЕЙЖЁИМН© РЮ ЯНЖЁЮКЭМН© ОЕДЮЦНЦЁЙХ Ё ОЯХУНКНЦЁ© йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН МЮЖЁНМЮКЭМНЦН СМЁБЕПЯХРЕРС ЁЛЕМЁ ╡БЮМЮ нЦЁ╨МЙЮ (АСДЁБКЪ ягнь ╧ 1) ГЮ ЮДПЕЯНЧ оКНЫЮ оНКЭЯЭЙХИ ПХМНЙ, 6.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
22,"оПН БЯРЮМНБКЕММЪ ЛЕЛНПЁЮКЭМН© ДНЬЙХ МЮ ТЮЯЮДЁ ОПХЛЁЫЕММЪ ТЮЙСКЭРЕРС ЙНКЕЙЖЁИМН© РЮ ЯНЖЁЮКЭМН© ОЕДЮЦНЦЁЙХ Ё ОЯХУНКНЦЁ© йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН МЮЖЁНМЮКЭМНЦН СМЁБЕПЯХРЕРС ЁЛЕМЁ ╡БЮМЮ нЦЁ╨МЙЮ (АСДЁБКЪ ягнь ╧ 1) ГЮ ЮДПЕЯНЧ оКНЫЮ оНКЭЯЭЙХИ ПХМНЙ, 6.", гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
23,оПН ГЮРБЕПДФЕММЪ оНКНФЕММЪ ОПН йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙХИ ЛЁЯЭЙХИ ЮПУЁБ С МНБЁИ ПЕДЮЙЖЁ©., ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
24,оПН БМЕЯЕММЪ ГЛЁМ Б ПЁЬЕММЪ 10 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.03.2016 ╧ 24/10 ╚оПН КЁЙБЁДЮЖЁЧ йЮЛ▓ЪМЕЖЭ-оНДЁКЭЯЭЙНЦН РЕПХРНПЁЮКЭМНЦН ЖЕМРПС ЯНЖЁЮКЭМНЦН НАЯКСЦНБСБЮММЪ (МЮДЮММЪ ЯНЖЁЮКЭМХУ ОНЯКСЦ) ╚дНБЦНКЁРРЪ╩., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
25,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ЛЁЯЖЕБХУ ОНДЮРЙЁБ МЮ 2016 ПЁЙ., гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю,п╡ьеммъ опхимърн
26,оПН МЮДЮММЪ ОЁКЭЦ ГЁ ЯОКЮРХ ЛЁЯЖЕБХУ ОНДЮРЙЁБ МЮ 2016 ПЁЙ., гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, српхлюбяъ, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, српхлюбяъ, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
27,"оПН БМЕЯЕММЪ ГЛЁМ РЮ ДНОНБМЕМЭ ДН ПЁЬЕММЪ 4 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.12.2015 ╧═29/4 ╚оПН ЛЁЯЭЙХИ АЧДФЕР МЮ 2016 ПЁЙ╩ РЮ ДНДЮРЙЁБ ДН МЭНЦН, Г БПЮУСБЮММЪЛ ГЛЁМ РЮ ДНОНБМЕМЭ, БМЕЯЕМХУ ПЁЬЕММЪЛ 5 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 13.01.2016 ╧ 2/5, ПЁЬЕММЪЛ 6 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 26.01.2016═╧ 112/6, ПЁЬЕММЪЛ 7═(ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 09.02.2016═╧ 1/7, ПЁЬЕММЪЛ 8 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 23.02.2016═╧ 4/8, ПЁЬЕММЪЛ 9 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.02.2016═╧═1/9, ПЁЬЕММЪЛ 10 ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 29.03.2016═╧ 328/10, ПЁЬЕММЪЛ 12 (ОНГЮВЕПЦНБН©) ЯЕЯЁ© ЛЁЯЭЙН© ПЮДХ БЁД 28.04.2016═╧ 4/12.", гю, гю, гю, гю, ме цнкнясбюб, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, гю, ме цнкнясбюб, гю, гю, гю, гю, гю, гю, гю, гю, гю,п╡ьеммъ опхимърн
