id,FullAskText,Бабчинський Олександр Васильович,Бенкендорф Геннадій Данилович,Бойко Андрій Анатолійович,Васильянов Дмитро Сергійович,Гаврилюк Василь Васильович,Гамалій Андрій Вячеславович,Гордійчук Валерій Григорович,Гурома Анатолій Степанович,Гурома Степан Анатолійович,Дюднєв Андрій Михайлович,Дюднєв Артем Михайлович,Жильчук Олександр Борисович,Качуровський Анатолій Іванович,Кобильник Василь Володимирович,Конюшенко Андрій Олександрович,Костинюк Володимир Володимирович,Костюкович Дмитро Карлович,Мазій Олена Миколаївна,Мастикаш Андрій Ігорович,Микуляк Іван Михайлович,Наглюк Юлія Вікторівна,Невенчан Геннадій Володимирович,Пливанюк Юрій Васильович,Полатайко Олександр Миколайович,Посітко Михайло Володимирович,Розбам Микола Нюсевич,Савчук Наталія Федорівна,Сімашкевич Михайло Євстафійович,Слободян Валерій Анатолійович,Старченко Світлана Володимирівна,Ткач Олег Васильович,Ткачук Олександр Анатолійович,Цвігун Борис Ярославович,Чинчик Олександр Сергійович,Чистяков Анатолій Євгенович,Шуханов Микола Макарович,Яриновський Юрій Леонідович,result
11,Про затвердження Положення про виплату одноразових грошових винагород обдарованим і талановитим дітям міста за високі інтелектуальні досягнення, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
12,Про внесення змін до рішення 23 сесії міської ради від 20.12.2016 № 22/23 «Про затвердження міської Програми «Харчування дітей» на 2017 рік», ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
13,Про внесення змін до рішення сесії міської ради від 20.12.2016 № 19/23 «Про затвердження Програми «Санітарна очистка міста Кам’янця-Подільського на 2017 рік», НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
14,Про внесення змін до рішення сесії міської ради від 20.12.2016 № 19/23 «Про затвердження Програми «Санітарна очистка міста Кам’янця-Подільського на 2017 рік», ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
15,Про внесення змін до рішення 8 сесії міської ради від 23.02.2016 № 5/8, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
16,Про внесення змін до рішення 8 сесії міської ради від 23.02.2016 № 5/8, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
17,Про внесення змін до рішення 8 сесії міської ради від 23.02.2016 № 5/8, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,Про надання дозволу КП  «Міськтепловоденергія» на отримання кредиту у формі овердрафту для поповнення обігових коштів, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
19,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
20,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
21,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, ПРОТИ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ПРОТИ,РІШЕННЯ ПРИЙНЯТО
22,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
23,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ, ПРОТИ, ЗА, ПРОТИ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ПРОТИ,РІШЕННЯ НЕ ПРИЙНЯТО
24,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, УТРИМАВСЯ, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
25,Про внесення змін до рішення сесії міської ради від 31.01.2017 року № 24/25 «Про затвердження списку присяжних Кам’янець-Подільського міськрайонного суду Хмельницької області», ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
26,Про звернення депутатів Кам’янець-Подільської міської ради до Верховної Ради України та Кабінету Міністрів України щодо неприпустимості ухвалення запропонованого проекту Трудового кодексу України, УТРИМАВСЯ, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ПРОТИ, ЗА, ЗА, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ НЕ ПРИЙНЯТО
27,Про звернення до Міністра оборони України., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
28,Про звернення до Міністра оборони України., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
29,Про звернення до Міністра оборони України., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
30,Про зміну громадянину Польському Д.О. розміру пайової участі у створенні і розвитку інженерно-транспортної та соціальної інфраструктури міста Кам’янця-Подільського, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
31,"Про затвердження протоколів засідання постійно діючої комісії з розгляду і вирішення земельних спорів від 26 травня 2017 року, від 02 червня 2017 року та від 23 червня 2017 року", ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
32,Про присвоєння звання «Почесний громадянин міста Кам’янця-Подільського» Степанкову В.С., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
33,Про нагородження відзнакою міської ради «Честь і шана» Постового  В.І., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
34,Про внесення змін в рішення 23 сесії міської ради від 20.12.2016 №18/23, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
35,Про надання пільги зі сплати земельного податку., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, НЕ ГОЛОСУВАВ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
36,Про затвердження Порядку визначення та використання Громадського бюджету міста Кам’янця-Подільського., ЗА, ЗА, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ВІДСУТНІЙ, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ВІДСУТНІЙ,РІШЕННЯ ПРИЙНЯТО
