id,FullAskText, Бабчинський Олександр Васильович, Бенкендорф Геннадій Данилович, Бойко Андрій Анатолійович, Васильянов Дмитро Сергійович, Гаврилюк Василь Васильович, Гамалій Андрій Вячеславович, Гордійчук Валерій Григорович, Гурома Анатолій Степанович, Гурома Степан Анатолійович, Дюднєв Андрій Михайлович, Дюднєв Артем Михайлович, Жильчук Олександр Борисович, Кобильник Василь Володимирович, Конюшенко Андрій Олександрович, Костинюк Володимир Володимирович, Костюкович Дмитро Карлович, Мазій Олена Миколаївна, Мастикаш Андрій Ігорович, Наглюк Юлія Вікторівна, Пливанюк Юрій Васильович, Полатайко Олександр Миколайович, Посітко Михайло Володимирович, Розбам Микола Нюсевич, Савчук Наталія Федорівна, Сімашкевич Михайло Євстафійович, Слободян Валерій Анатолійович, Ткач Олег Васильович, Ткачук Олександр Анатолійович, Цвігун Борис Ярославович, Чинчик Олександр Сергійович, Чистяков Анатолій Євгенович, Шуханов Микола Макарович, Яриновський Юрій Леонідович,result
11,Про виділення коштів з міського бюджету на збільшення статутного капіталу КП «Міськтепловоденергія»., ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
12,Про встановлення пільгової орендної плати орендарю нежитлового приміщення комунальної власності міста., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ ПРИЙНЯТО
13,"Про прийняття в комунальну власність міста трансформаторних підстанцій та силових кабелів по вул. Вокзальній, 2 с. Кам’янка.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
14,Про збільшення статутного капіталу КП «Міськтепловоденергія»., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
15,Про збільшення статутного капіталу КП «Міськтепловоденергія»., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
16,Про звернення до Кабінету Міністрів України., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
17,"Про внесення змін та доповнень до рішення 4 (позачергової) сесії міської ради від 23.12.2015 № 29/4 «Про міський бюджет на 2016 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 5 (позачергової) сесії міської ради від 13.01.2016 № 2/5, рішенням 6 сесії міської ради від 26.01.2016 № 112/6, рішенням 7 (позачергової) сесії міської ради від 09.02.2016 № 1/7, рішенням 8 сесії міської ради від 23.02.2016 № 4/8, рішенням 9 (позачергової) сесії міської ради від 29.02.2016 № 1/9, рішенням 10 сесії міської ради від 29.03.2016 № 328/10, рішенням 12 (позачергової) сесії міської ради від 28.04.2016 № 4/12, рішенням 13 сесії міської ради від 31.05.2016 № 19/13, рішенням 14 сесії міської ради від 05.07.2016 № 182/14.", ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
18,"Про внесення змін та доповнень до рішення 4 (позачергової) сесії міської ради від 23.12.2015 № 29/4 «Про міський бюджет на 2016 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 5 (позачергової) сесії міської ради від 13.01.2016 № 2/5, рішенням 6 сесії міської ради від 26.01.2016 № 112/6, рішенням 7 (позачергової) сесії міської ради від 09.02.2016 № 1/7, рішенням 8 сесії міської ради від 23.02.2016 № 4/8, рішенням 9 (позачергової) сесії міської ради від 29.02.2016 № 1/9, рішенням 10 сесії міської ради від 29.03.2016 № 328/10, рішенням 12 (позачергової) сесії міської ради від 28.04.2016 № 4/12, рішенням 13 сесії міської ради від 31.05.2016 № 19/13, рішенням 14 сесії міської ради від 05.07.2016 № 182/14.", ПРОТИ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ПРОТИ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, ПРОТИ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА,РІШЕННЯ НЕ ПРИЙНЯТО
19,"Про внесення змін та доповнень до рішення 4 (позачергової) сесії міської ради від 23.12.2015 № 29/4 «Про міський бюджет на 2016 рік» та додатків до нього, з врахуванням змін та доповнень, внесених рішенням 5 (позачергової) сесії міської ради від 13.01.2016 № 2/5, рішенням 6 сесії міської ради від 26.01.2016 № 112/6, рішенням 7 (позачергової) сесії міської ради від 09.02.2016 № 1/7, рішенням 8 сесії міської ради від 23.02.2016 № 4/8, рішенням 9 (позачергової) сесії міської ради від 29.02.2016 № 1/9, рішенням 10 сесії міської ради від 29.03.2016 № 328/10, рішенням 12 (позачергової) сесії міської ради від 28.04.2016 № 4/12, рішенням 13 сесії міської ради від 31.05.2016 № 19/13, рішенням 14 сесії міської ради від 05.07.2016 № 182/14.", ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
20,Земельні питання. – проекти № 18-21, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,ВІДСУТНІЙ, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
21,Земельні питання – проекти № 22-26., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ПРОТИ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ПРОТИ, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ,РІШЕННЯ НЕ ПРИЙНЯТО
22,Земельні питання – проекти № 27-28., НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, УТРИМАВСЯ, УТРИМАВСЯ, ПРОТИ, ПРОТИ, НЕ ГОЛОСУВАВ, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, УТРИМАВСЯ,РІШЕННЯ НЕ ПРИЙНЯТО
23,Земельні питання – проекти № 29-30., ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
24,Земельні питання – проект № 31., ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,ВІДСУТНІЙ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
25,Земельні питання – проект № 33., ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
26,Земельні питання – проекти № 34-36., ЗА, УТРИМАВСЯ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ,РІШЕННЯ ПРИЙНЯТО
27,Про затвердження технічної документації з нормативної грошової оцінки земель міста Кам’янець-Подільського., ЗА, УТРИМАВСЯ, ЗА, ЗА, ЗА, ЗА, ЗА, УТРИМАВСЯ, УТРИМАВСЯ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, НЕ ГОЛОСУВАВ, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ПРОТИ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ,РІШЕННЯ ПРИЙНЯТО
28,Склад комісії по напрацюванню звернення, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, НЕ ГОЛОСУВАВ, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА, ЗА,РІШЕННЯ ПРИЙНЯТО
